ELEMENT,Axis_0,Axis_1,PE_WE,PE_WE_P,PHYLO_RPE2,PHYLO_RPE_DIFF2,PHYLO_RPE_NULL2
-1425000:-3625000,-1425000,-3625000,0.98998998998999,0.98998998998999,,0.984984984984985,0.988988988988989
-1425000:-3675000,-1425000,-3675000,0.985985985985986,0.985985985985986,0.972972972972973,0.986986986986987,
-1425000:-3725000,-1425000,-3725000,0.98998998998999,0.98998998998999,0.980980980980981,0.992992992992993,0.958958958958959
-1425000:-3775000,-1425000,-3775000,0.993993993993994,0.993993993993994,0.98998998998999,0.993993993993994,0.96996996996997
-1425000:-3825000,-1425000,-3825000,0.993993993993994,0.993993993993994,0.972972972972973,0.992992992992993,0.991991991991992
-1425000:-3875000,-1425000,-3875000,0.978978978978979,0.978978978978979,,0.964964964964965,0.977977977977978
-1425000:-3925000,-1425000,-3925000,0.977977977977978,0.977977977977978,,0.972972972972973,0.973973973973974
-1475000:-2275000,-1475000,-2275000,,,,,
-1475000:-2325000,-1475000,-2325000,,,,,
-1475000:-2375000,-1475000,-2375000,,,,,
-1475000:-2425000,-1475000,-2425000,,,,,
-1475000:-2475000,-1475000,-2475000,,,,,
-1475000:-2525000,-1475000,-2525000,,,,,
-1475000:-2575000,-1475000,-2575000,,,,,
-1475000:-2625000,-1475000,-2625000,,,,,
-1475000:-2775000,-1475000,-2775000,,,0.986986986986987,,
-1475000:-2825000,-1475000,-2825000,,,,,
-1475000:-2875000,-1475000,-2875000,,,,,
-1475000:-2925000,-1475000,-2925000,,,0.024024024024024,,
-1475000:-2975000,-1475000,-2975000,,,,,
-1475000:-3025000,-1475000,-3025000,,,,,
-1475000:-3075000,-1475000,-3075000,,,,,
-1475000:-3125000,-1475000,-3125000,,,,,
-1475000:-3175000,-1475000,-3175000,,,,,
-1475000:-3225000,-1475000,-3225000,0.968968968968969,0.968968968968969,,0.971971971971972,
-1475000:-3275000,-1475000,-3275000,0.982982982982983,0.982982982982983,,,1
-1475000:-3325000,-1475000,-3325000,,,,,
-1475000:-3375000,-1475000,-3375000,0.96996996996997,0.96996996996997,,,0.953953953953954
-1475000:-3425000,-1475000,-3425000,0.997997997997998,0.997997997997998,0.990990990990991,0.997997997997998,1
-1475000:-3475000,-1475000,-3475000,0.990990990990991,0.990990990990991,0.973973973973974,0.987987987987988,0.970970970970971
-1475000:-3525000,-1475000,-3525000,0.994994994994995,0.994994994994995,,0.991991991991992,0.996996996996997
-1475000:-3575000,-1475000,-3575000,0.995995995995996,0.995995995995996,0.96996996996997,0.991991991991992,1
-1475000:-3625000,-1475000,-3625000,0.990990990990991,0.990990990990991,0.971971971971972,0.990990990990991,0.987987987987988
-1475000:-3675000,-1475000,-3675000,0.997997997997998,0.997997997997998,,0.987987987987988,0.996996996996997
-1475000:-3725000,-1475000,-3725000,0.98998998998999,0.98998998998999,0.962962962962963,0.988988988988989,0.973973973973974
-1475000:-3775000,-1475000,-3775000,0.992992992992993,0.992992992992993,,0.986986986986987,0.995995995995996
-1475000:-3825000,-1475000,-3825000,0.995995995995996,0.995995995995996,,0.987987987987988,0.993993993993994
-1475000:-3875000,-1475000,-3875000,0.981981981981982,0.981981981981982,,0.960960960960961,0.986986986986987
-1525000:-2325000,-1525000,-2325000,,,,,
-1525000:-2375000,-1525000,-2375000,,,,,
-1525000:-2425000,-1525000,-2425000,,,,,
-1525000:-2475000,-1525000,-2475000,,,,,
-1525000:-2525000,-1525000,-2525000,,,,,
-1525000:-2575000,-1525000,-2575000,,,,,
-1525000:-2625000,-1525000,-2625000,,,,,
-1525000:-2675000,-1525000,-2675000,,,,,
-1525000:-2725000,-1525000,-2725000,,,,,
-1525000:-2775000,-1525000,-2775000,,,,,
-1525000:-2825000,-1525000,-2825000,,,,,
-1525000:-2875000,-1525000,-2875000,,,,,
-1525000:-2925000,-1525000,-2925000,,,,,
-1525000:-2975000,-1525000,-2975000,,,,,
-1525000:-3025000,-1525000,-3025000,,,,,0.039039039039039
-1525000:-3075000,-1525000,-3075000,,,,,
-1525000:-3125000,-1525000,-3125000,,,,,
-1525000:-3175000,-1525000,-3175000,,,,,
-1525000:-3225000,-1525000,-3225000,,,,,
-1525000:-3275000,-1525000,-3275000,0.956956956956957,0.956956956956957,,,0.983983983983984
-1525000:-3325000,-1525000,-3325000,0.98998998998999,0.98998998998999,,,1
-1525000:-3375000,-1525000,-3375000,0.993993993993994,0.993993993993994,0.976976976976977,0.991991991991992,0.986986986986987
-1525000:-3425000,-1525000,-3425000,0.995995995995996,0.995995995995996,,0.991991991991992,1
-1525000:-3475000,-1525000,-3475000,0.996996996996997,0.996996996996997,0.967967967967968,0.990990990990991,0.996996996996997
-1525000:-3525000,-1525000,-3525000,0.993993993993994,0.993993993993994,,0.988988988988989,0.990990990990991
-1525000:-3575000,-1525000,-3575000,0.983983983983984,0.983983983983984,,0.967967967967968,0.982982982982983
-1525000:-3625000,-1525000,-3625000,0.980980980980981,0.980980980980981,,0.96996996996997,0.976976976976977
